Price,Type,Parking Spaces,Land Size,Building Size,Architecture Style,Bedrooms,Bathrooms,Livingrooms,Basements,State
2600.0,Other,1.0,121.41,126.53,Contemporary,3.0,3.0,1.0,0.0,Georgia
3950.0,Apartment,2.0,3957.42,114.83,Contemporary,2.0,2.0,1.0,0.0,Pennsylvania
2700.0,Other,0.0,668.44,175.96,New Traditional,3.0,3.0,1.0,0.0,Georgia
5000.0,Apartment,2.0,1822.71,191.1,Modern,3.0,4.0,1.0,0.0,California
1550.0,Apartment,0.0,3254.48,126.35,Other,2.0,1.0,1.0,0.0,Georgia
1300.0,Apartment,1.0,668.44,49.05,Contemporary,1.0,1.0,1.0,0.0,Other
1950.0,Other,2.0,40.47,136.57,Other,2.0,3.0,1.0,0.0,Georgia
5250.0,Other,0.0,206.39,233.65,Craftsman,4.0,4.0,1.0,0.0,Georgia
2800.0,House,4.0,668.44,184.32,Other,4.0,3.0,1.0,0.0,Georgia
2500.0,Other,0.0,668.44,202.34,New Traditional,3.0,3.0,1.0,0.0,North Carolina
2300.0,House,0.0,930.78,143.63,Ranch,3.0,2.0,1.0,0.0,Arizona
1600.0,Townhouse,0.0,1404.26,105.63,Other,2.0,2.0,1.0,0.0,Arizona
3500.0,House,0.0,846.2,226.13,Ranch,3.0,3.0,1.0,0.0,Arizona
2000.0,House,0.0,1315.23,104.61,Other,2.0,2.0,1.0,0.0,Arizona
2500.0,House,0.0,941.7,179.95,Ranch,4.0,2.0,1.0,0.0,Arizona
1550.0,Townhouse,0.0,929.16,113.06,Other,2.0,2.0,1.0,0.0,Arizona
5200.0,House,0.0,1165.9,366.5,New Traditional,5.0,4.0,1.0,0.0,Arizona
2300.0,House,0.0,1011.72,144.93,New Traditional,4.0,2.0,1.0,0.0,Arizona
1150.0,House,0.0,30351.45,85.84,Other,3.0,2.0,1.0,0.0,Oklahoma
1350.0,House,0.0,558.47,18.58,New Traditional,3.0,1.0,1.0,0.0,Georgia
1795.0,House,0.0,4046.86,97.55,Bungalow,3.0,2.0,1.0,0.0,Georgia
2800.0,House,0.0,671.78,232.82,New Traditional,4.0,3.0,1.0,0.0,Georgia
